Alimento,Medida Caseira,Peso (g)
DANUBIO,Mq/Pão De Forma,90.0
DANUBIO,Mq/Pão Francês,90.0
DANUBIO,Pote,200.0
DANUBIO,Pq/Cream Cracker,15.0
DANUBIO,Pq/Pão De Forma,40.0
DANUBIO,Pq/Pão Francês,40.0
DANUBIO,Col,3.0
DANUBIO,Colher de sopa rasa,15.0
CASEIRO,Colher de cháá cháeia,5.0
CASEIRO,Colher de sopa cháeia,25.0
CASEIRO,Colher de sopa rasa,15.0
CREME DE ABACATE,Colher de sopa cháeia,25.0
CREME DE ABACATE,Copo duplo (240ml) (240ml),250.0
CREME DE ABACATE,Copo pequeno (165ml),180.0
CREME DE ABACATE,Copo Sorvete Ch,90.0
CREME DE ABACATE,Copo Sorvete R,700.0
CREME DE ABACATE,Prato fundo,750.0
CREME DE ABACATE,Prato raso,500.0
CREME DE ABACATE,Col Caféé Ch,40.0
CREME DE ABACATE,Col Caféé R,20.0
CREME DE ABACATE,Colher de cháá cháeia,8.0
CREME DE ABACATE,Colher de cháá rasa,4.0
CREME DE ABACATE,Colher de sopa rasa,20.0
CREME DE ABACATE,Embalagem Comercial,250.0
CREME DE ABACATE,Gq/Cream Cracker,70.0
CREME DE ABACATE,Gq/Pão De Forma,270.0
CREME DE ABACATE,Gq/Pão Francês,300.0
CREME DE ABACATE,Mq/Cream Cracker,40.0
CREME DE ABACATE,Mq/Pão De Forma,120.0
CREME DE ABACATE,Mq/Pão Francês,20.0
CREME DE ABACATE,Pq/Cream Cracker,20.0
CREME DE ABACATE,Pq/Pão De Forma,70.0
CREME DE ABACATE,Pq/Pão Francês,1060.0
CREME DE ESPINAFRE,Colher de arroz cháeia,76.0
CREME DE ESPINAFRE,Colher de arroz rasa,60.0
CREME DE ESPINAFRE,Í Colher de sopa cháeia,35.0
CREME DE ESPINAFRE,Colher de sopa rasa,25.0
CREME DE ESPINAFRE,Escumadeira média cháeia,114.0
CREME DE ESPINAFRE,Lata,300.0
CREME DE ESPINAFRE,Colher de sopa cháeia,33.0
MORANGO,Colher de cháá cháeia,4.0
MORANGO,Colcháár,25.0
MORANGO,Colher de sopa cháeia,20.0
MORANGO,Colher de sopa rasa,25.0
MORANGO,Unidade,1040.0
TRADICIONAL,Colher de cháá cháeia,4.0
TRADICIONAL,Colher de cháá rasa,5.0
TRADICIONAL,Colher de sopa cháeia,20.0
TRADICIONAL,Colher de sopa rasa,25.0
TRADICIONAL,Unidade grande,670.0
TRADICIONAL,Unidade média,400.0
CROQUETE DE CARNE,Unidade grande,55.0
CROQUETE DE CARNE,Unidade média,250.0
CROQUETE DE CARNE,Unidade pequena,100.0
CURRY,Col Chá,20.0
CURRY,Cols,90.0
CUSCUZ DE MILHO,Pedaço grande,200.0
CUSCUZ DE MILHO,Pedaço médio,135.0
